Africa    n.非洲
accustomed    a.惯常的；习惯的
ache    vi.痛；想念
achieve    vt.完成，实现；达到
achievement    n.完成；成就，成绩
acid    n.酸；酸的，酸性的
acquaintance    n.认识；了解；熟人
acquire    vt.取得；获得；学到
acre    n.英亩(=6.07亩)
across    prep.横过；在…对面
act    vi.行动；见效
action    n.作用；情节
active    a.活跃的；积极的
activity    n.活动；活力；行动
actor    n.男演员；演剧的人
actress    n.女演员
actual    a.实际的；现行的
actuals    n.现货；实际数字
acute    a.尖的，锐的；敏锐的
ad    n.广告
adapt    vt.使适应；改编
add    vt.添加，附加，掺加
addition    n.加，加法；附加物
additional    a.附加的，追加的
address    n.地址；演说；谈吐
adequate    a.足够的；可以胜任的
adjective    n.形容词
adjust    vt.调整，调节；校正
administration    n.局(或署、处等)
admire    vt.钦佩，羡慕，赞赏
admission    n.允许进入；承认
admit    vt.承认；准许…进入
adopt    vt.收养；采用；采取
adult    n.成年人
adulteration    n.搀假；劣等货；次品
advance    vi.前进；提高
advanced    a.先进的；高级的
advantage    n.优点，优势；好处
adventure    n.冒险；惊险活动
adverb    n.副词
advertise    vt.通知
advertisement    n.广告；公告；登广告
advice    n.劝告；忠告；意见
advisable    n.明智的；可取的
advise    vt.劝告；建议；通知
adviser    n.顾问；指导教授；劝告者
aeroplane    n.飞机
affair    n.事情，事件；事务
affect    vt.影响；感动
affection    n.慈爱，爱；爱慕
affiliate    n.分公司；附属机构 vt.使隶属于；接纳；追溯 vi.发生联系
affix    v.使附于；署名；粘贴 n.附加物；词缀
afford    vt.担负得起…；提供
afraid    a.害怕的；担心的
after    prep.在…以后；次于
aftermarket    n.后继市场；零件市场；售后市场
afternoon    n.下午，午后
afterward    ad.后来，以后
afterwards    adv.以后；后来
again    ad.又一次；而且
against    prep.倚在；逆，对着
age    n.年龄；时代
aged    adj.年老的
agency    n.经办；代理；代理处
agent    n.代理人，代理商
aggregate    adj.合计的；总的 n.总计；进球总数；集料 v.（使）聚集；总计
aggression    n.进攻；侵犯；侵害；侵略
aggressive    a.侵略的；好斗的
ago    ad.以前
agree    vi.同意；持相同意见
agreement    n.协定，协议；同意
agriculture    n.农业，农艺；农学
ahead    ad.在前；向前；提前
aid    n.帮助，救护；助手
aim    vi.瞄准，针对；致力
air    n.空气；空中；外观
aircraft    n.飞机，飞行器
airfield    n.飞机场
airline    n.航空公司；航线
airliner    n.定期班机；客机
airplane    n.飞机
airport    n.机场，航空站
alarm    n.惊恐，忧虑；警报
alcohol    n.酒精，乙醇
alienation    n.疏远；离间；让渡；[哲]异化
alienator    n.转让人；让渡人；出让方
alienee    n.[律]受让人
alike    a.同样的，相同的
alive    a.活着的；活跃的
all    a.全部的
allocation    n.分配；配置；安置
allow    vt.允许，准许；任
almost    ad.几乎，差不多
alms    n.<古>救济金；救济品
alone    a.单独的
along    prep.沿着
aloud    ad.出声地，大声地
already    ad.早已，已经
also    ad.亦，也；而且，还
alter    vt.改变，变更；改做
although    conj.尽管，虽然
altogether    ad.完全；总而言之
always    ad.总是，一直；永远
amateur    a.业余的n.业余爱好者
amaze    vt.使吃惊；使惊异 vi.惊讶 n.吃惊；好奇
ambition    n.雄心；抱负；野心；精力 vt.追求；有 ... 野心
ambulance    n.救护车
amendment    n.修正；修正案；改进
among    prep.在 ... 之中；...之一
amongst    prep. 在 ... 之中； 在 ... 之间(=among)
amortization    n.分期偿还
amount    n.数量；总额 vi.总计；等于
amuse    v.娱乐；消遣；使 ... 发笑
an    art.（用在元音音素前）一
analyse    vt.分析；细察
analysis    n.分析；解析
analyze    vt.分析；解析；研究
ancestor    n.祖宗；祖先；原种
ancient    adj.古老的；古代的 n.古人
and    conj.和；加；接着；那么
angel    n.天使；天使般的人
anger    n.愤怒；怒火 vt.激怒 vi.发火
angry    adj.生气的；愤怒的；（伤口等）肿痛的，发炎的；（天空或海洋）天昏地暗的，狂风暴雨的
animal    n.动物；牲畜 adj.动物的；野兽的
anniversary    n.周年纪念日
announce    vt.报告…的来到
annoy    v.使恼怒；使烦恼；骚扰
annual    adj.每年的；年度的；一年生的 n.年刊；一年生植物
annuity    n.年金；养老金；年金保险
another    adj.另一的；再一个的 pron.另一个；类似的一个；别的
answer    vi.符合，适合
ant    n.蚂蚁
anticipate    vt.预期；提前使用；抢 ... 前 vi.预言
anxiety    n.焦虑；担心；渴望
anxious    adj.渴望的；忧虑的
any    adj.任何的 adv.稍微；丝毫 pron.任何
anybody    n.重要人物
anyhow    adv.无论如何；不管怎样
anyone    pron.任何人
anything    pron.任何事；任何东西；重要事物 adv.在任何程度上
anyway    adv.不管怎样；无论如何
anywhere    adv.任何地方 n.任何(一个)地方
apart    adv.相距；分开地；分别地 adj.分开的；分离的
apartment    n.一套公寓房间
apologize    vi.道歉；赔罪
apology    n.道歉，认错，谢罪
apparent    a.显然的
appeal    vi.&n.呼吁；申述
appear    vi.出现；来到；似乎
appearance    n.出现，来到；外观
appetite    n.食欲，胃口；欲望
apple    n.苹果，苹果树
appliance    n.用具，器具，器械
applicable    a.能应用的；适当的
application    n.请求，申请；施用
applied    adj.应用的
apply    vt.应用，实施，使用
appoint    vt.任命，委任；约定
appointment    n.任命；约定，约会
appraisal    n.估计；评估
appreciate    vt.欣赏；领会；感谢
appreciation    n.欣赏；鉴别；感激
approach    vt.向…靠近
appropriate    a.适当的，恰当的
approval    n.赞成，同意；批准
approve    vt.赞成，称许；批准
approximately    ad.近似地，大约
arbitrage    n.套利交易；套汇；仲裁
architect    n.建筑师；创造者
architecture    n.建筑学；建筑式样
area    n.面积；地区；领域
argue    vi.争论，争辩，辩论
argument    n.争论，辩论；理由
arise    vi.出现；由…引起
arm    n.臂；臂状物；武器
armchair    n.扶手椅；单人沙发；安乐椅 adj.不切实际的
army    n.军队；陆军
around    prep.在…周围
arouse    vt.引起，唤起；唤醒
arrange    vt.筹备；整理；调解
arrangement    n.整理，排列；安排
arrears    n.到期未付之债；拖欠的款项；待做的工作
arrest    vt.逮捕，拘留；阻止
arrestment    n.财产扣押；扣留
arrival    n.到达；到来；到达者
arrive    vi.到达；来临；达到
art    n.艺术，美术；技术
article    n.文章；条款；物品
artificial    a.人工的；娇揉造作的
artist    n.艺术家，美术家
as    conj.当…的时候
ash    n.灰，灰末；骨灰
ashamed    a.惭愧(的)；羞耻(的)
aside    ad.在旁边，到旁边
ask    vt.问；要求；邀请
asleep    a.睡着的，睡熟的
aspect    n.方面；样子，外表
assemble    vt.集合，召集；装配
assembly    n.集合；集会；装配
assess    vt.对(财产等)估价
assessment    n.估定；查定；估计数
assessor    n.估价员；估计财产的人；确定税款的人
asset    n.资产；优点；有用的东西
assign    vt.指派；分配；指定
assignment    n.任务，指定的作业
assist    vt.援助，帮助；搀扶
assistance    n.援助；帮助
assistant    n.助手，助理；助教
associate    vi.交往
association    n.协会，团体；联合
assume    vt.假定；承担；呈现
assure    vt.使确信；向…保证
astonish    vt.使惊讶，使吃惊
astronaut    n.宇宙航行员，宇航员
at    prep.在…里；在…时
athlete    n.运动员；田径运动员
atmosphere    n.大气；空气；气氛
atom    n.微粒；微量
atomic    a.原子的；原子能的
attach    vt.缚，系，贴；附加
attack    vt.&vi.&n.攻击，进攻
attain    vt.达到，获得，完成
attempt    vt.尝试，试图
attend    vt.出席；照顾，护理
attendance    n.到场；出席人数
attention    n.注意，留心；注意力
attitude    n.态度，看法；姿势
attorney    n.代理人；辩护律师
attract    vt.吸引；引起，诱惑
attraction    n.吸引；吸引力；引力
attractive    a.有吸引力的
auction    n.拍卖 vt.拍卖
audience    n.正式会见；拜会
auditing    n.审计；查账；决算
aunt    n.伯母，婶母，姑母
author    n.创造者，创始人
authority    n.当局，官方；权力
auto    n.(口语)汽车
automatic    a.自动的；机械的
automobile    n.汽车，机动车
autumn    n.秋，秋季
avail    vt.有益于
available    a.可利用的；通用的
avenue    n.林荫道，道路；大街
average    n.平均数
aviation    n.飞行
avoid    vt.避免，躲开；撤消
avoidable    adj.可避免的
await    vt.等候，期待
awake    vi.认识到
award    n.奖，奖品；判定
aware    a.知道的，意识到的
away    ad.离开，远离；…去
awful    a.威严的；令人崇敬的
awkward    a.不雅观的
ax    n.斧子
axe    n.斧；解雇；倒闭 vt.用斧砍；解雇；大量削减
baby    n.一家中年龄最小的人
back    ad.在后；回原处；回
background    n.背景，后景，经历
backward    a.向后的；倒的
backwards    adv.向后；倒；往回
bad    a.坏的，恶的；严重的
badly    ad.坏，差；严重地
bag    n.袋，包，钱包，背包
baggage    n.行李
bail    n.保释；杓；把手；保证金；担保人 vt.保释；往外舀水；使摆脱困境 vi.舀空
balance    vt.使平衡；称
ball    n.球，球状物；舞会
balloon    n.气球，玩具气球
ballooning    n.（气球的）操纵；热气球飞行
ban    v.禁止；剥夺权利 n.禁令；禁止
banana    n.香蕉；芭蕉属植物
band    n.乐队；带；波段
bank    vi.把钱存入银行
banker    n.银行家
banking    n.银行业；银行业务
bankrupt    a.破产的
bankruptcy    n.破产；倒闭
banner    n.旗，旗帜，横幅
bar    n.酒吧间；条，杆；栅
barber    n.理发师
bare    a.赤裸的；仅仅的
bargain    n.交易
barrier    n.栅栏，屏障；障碍
barter    v.物物交换；以货易货 n.物物交换；实物交易
base    n.基础，底层；基地
basic    a.基本的，基础的
basin    n.内海；盆地，流域
basis    n.基础，根据
basket    n.篮，篓，筐
basketball    n.篮球；篮球运动
bat    n.球拍；短棍；蝙蝠
bath    n.浴，洗澡；浴缸
bathe    vt.给…洗澡；弄湿
bathroom    n.浴室；盥洗室
battery    n.炮兵连；兵器群
battle    vi.战斗
be    aux.v.&vi.是，在，做
beach    n.海滩，湖滩，河滩
bean    n.豆，蚕豆
bear    vt.容忍；负担；生育
beard    n.胡须，络腮胡子
bearer    n.持票者；带信人；承担人；脚夫；搬运工；能开花结果的植物；柩夫
bearish    adj.如熊一样笨拙的；粗暴的；（股票）行情看跌的
beast    n.兽，野兽；牲畜
beat    vt.&vi.打，敲；打败
beautiful    a.美的，美丽的
beauty    n.美，美丽；美人
because    conj.由于，因为
become    vi.变成；成为，变得
bed    n.河床，(湖)底，矿床
bee    n.蜂，密蜂；忙碌的人
beef    n.牛肉；菜牛
beer    n.啤酒
before    prep.在…以前；向…
beforehand    ad.预先；提前地
beg    vt.&vi.乞求；请求
beggar    n.乞丐，穷人
begin    vi.开始
beginner    n.初学者，生手
beginning    n.开始，开端；起源
behalf    n.利益，维护，支持
behave    vi.表现，举止；运转
behavior    n.行为，举止，态度
behaviour    n.行为；举止；品行
behind    prep.在…后面
being    n.存在；生物；生命
belief    n.信任，相信；信念
believe    vt.相信；认为
bell    n.钟，铃，门铃；钟声
belong    vi.属于，附属
below    prep.在…下面(以下)
belt    n.带，腰带；皮带；区
bench    n.长凳，条凳；工作台
bend    vt.使屈从
beneath    prep.在…下方
beneficial    a.有利的，有益的
beneficiary    n.受惠者；受益人
benefit    n.利益；恩惠；津贴
beside    prep.在…旁边
besides    ad.而且prep.除…之外
best    a.最好的；最大的
bet    vt.&vi.&n.打赌
better    a.较好的
between    ad.当中，中间
beyond    prep.在…的那边
bicycle    n.自行车，脚踏车
bid    vt.命令
bidder    n.出价人；投标人
big    a.大的，巨大的
bike    n.自行车
bill    n.账单；招贴；票据
billion    num.万亿(英)
biology    n.生物学；生态学
bird    n.鸟，禽
birth    n.分娩，出生；出身
birthday    n.生日，诞生的日期
biscuit    n.(英)饼干；(美)软饼
bit    n.一点，一些，小片
bite    vt.咬，叮，螫；剌穿
bitter    a.痛苦的；严寒的
black    a.黑色的；黑暗的
blackboard    n.黑板
blame    vt.责备，把…归咎于
blank    a.空白的
blanket    n.毛毯，毯子，羊毛毯
blanknote    n.空白支票
bleed    vi.出血，流血；泌脂
blind    n.百叶窗；窗帘；遮帘
block    n.阻塞；障碍物；炮闩
blood    n.血，血液；血统
bloom    n.花；开花，开花期
blow    vi.吹，吹动；吹响
blue    a.伤心的；下流的
board    vt.(收费)供…膳食
boast    vi.自夸
boat    n.小船，艇；渔船
body    n.物体；(液)体；实质
boil    vi.沸腾；汽化vt.煮沸
bold    a.大胆的；冒失的
bomb    n.炸弹
bond    n.联结，联系；公债
bonded    adj.以债券作保证的；有担保的；存入保税仓库的
bone    n.骨，骨骼
bonus    n.红利；意外所得之物；奖金；【篮】追加罚篮
book    n.书，书籍
booking    n.预约；预订
bookstore    n.书店
boom    n.繁荣；兴旺；激增；低沉声 n.帆杠；吊杆；支臂；尾桁；水栅 vi.急速增长；发出低沉声 vt.使兴旺；促进
boot    n.靴子，长统靴
border    n.边，边缘；边界
bore    n.讨厌的人；麻烦事
born    a.天生的；出生的
borrow    vt.借，借用，借人
borrowing    n.借款；贷款；借用词
boss    n.老板，上司
both    pron.两者(都)
bother    vt.烦扰，迷惑
bottle    n.瓶，酒瓶；一瓶
bottleneck    n.瓶颈 v.阻塞；妨碍 adj.狭窄的
bottom    n.底，底部，根基
bound    a.应当的；必定的
boundary    n.分界线，办界
bowl    n.碗，钵；碗状物
box    n.专席
boy    n.男孩，少年；家伙
brain    n.脑，脑髓；脑力
brainstorm    n.好主意；脑猝病 v.集思广益
brake    n.闸，刹车
branch    n.树枝；分部；分科
brand    vt.在…上打烙印
brass    n.黄铜；黄铜器
brave    a.勇敢的，华丽的
bread    n.面包；食物，粮食
breadth    n.宽度，幅度；幅面
break    vt.打破；损坏；破坏
break-even    adj.保本的；不盈不亏的；得失相当的
breakfast    vi.吃早餐
breast    n.乳房；胸脯，胸膛
breath    n.气息，呼吸；气味
breathe    vi.呼吸
breed    n.(动物)品种
breeze    n.微风，和风
bribe    n.贿赂
brick    n.砖，砖块；砖状物
bride    n.新娘
bridge    vt.架桥于，用桥连接
brief    a.简短的；短暂的
bright    a.明亮的；聪明的
brighten    vt.使发光；使快活
brilliant    a.光辉的；卓越的
bring    vt.带来；引出；促使
broad    a.宽的，阔的；广泛的
broadcast    n.广播，播音
broke    adj.一文不名的；破产的 v.打碎；折断；违背；解决；中断（动词break的过去式）
broken    a.被打碎的，骨折的
broker    n.经纪人 vt.安排；协商
brokerage    n.经纪人(或中间人)业务；经纪行
brook    n.小河，溪流
broom    n.扫帚
brother    n.兄弟；同事，同胞
brow    n.额；眉，眉毛
brown    n.褐色，棕色
brush    n.刷子，毛刷；画笔
bubble    n.泡
bucket    n.水桶；吊桶；铲斗
budget    n.预算，预算案
build    vt.建筑；建立；创立
building    n.建筑物，大楼；建筑
bulb    n.电灯泡；球状物
bulk-cheap    n.薄利多销
bull    n.买空的证券投机商
bull-bear    n.多头空头
bullet    n.枪弹，子弹，弹丸
bulletin    告示，公告，公报
bullish    adj.似牡牛的；看涨的；上扬的；乐观的
bunch    n.束，球，串；一群
bundle    n.捆，包，束；包袱
burden    n.担子，重担；装载量
bureau    n.局，司，处；社，所
burn    vi.烧，燃烧
burst    vt.使爆裂
bury    vt.埋葬，葬；埋藏
bus    n.公共汽车
bush    n.灌木，灌木丛，矮树
business    n.商业，生意；事务
busy    a.忙的，繁忙的
but    conj.但是，可是
butter    n.黄油；奶油
button    n.扣子；按钮
buy    vt.买，购买
by    prep.在…旁；被，由
by-business    n.副业；兼职
by-law    n.公司章程；细则；附则
by-product    n.副产品
bypath    n.小路；侧道；私道
byway    n.旁道；次要的领域
cabbage    n.洋白菜，卷心菜
cabin    n.小屋；船舱，机舱
cabinet    n.橱，柜；内阁
cable    n.海底电报
cadre    n.干部；骨架；小组成员；骨干
cafe    n.咖啡馆；小餐厅
cage    n.笼；鸟笼，囚笼
cake    n.饼，糕，蛋糕
calculate    vt.计算；估计；计划
calculator    n.计算器，计算者
calendar    n.日历，历书；历法
call    vt.把…叫做；叫，喊
calm    a.静的，平静的
camel    n.骆驼
camera    n.照相机，摄影机
camp    n.野营，营地，兵营
campaign    n.战役；运动
campus    n.校园，学校场地
can    vt.装罐头
canal    n.运河；沟渠；管
cancel    vt.删去，勾销，取消
cancer    n.癌，癌症，肿瘤
candidate    n.候选人；投考者
candle    n.蜡烛；烛形物；烛光
candy    n.糖果；砂糖结晶
canvas    n.粗帆布；一块油画布
canvasser    n.兜揽生意的人；游说者
cap    n.帽子，便帽；帽状物
capable    a.有能力的，有才能的
capacity    n.容量；能力；能量
capital    n.资本，资金；首都
capitation    n.人头税；按人计算的补助费
captain    n.陆军上尉；队长
capture    vt.捕获，俘获；夺得
car    n.汽车，小汽车，轿车
carbon    n.碳
card    n.卡，卡片，名片
care    vi.关心，介意
career    n.生涯，职业，经历
careful    a.仔细的；细致的
careless    a.粗心的，漫不经心的
cargo    n.船货，货物
carpenter    n.木工，木匠
carpet    n.地毯，毡毯，毛毯
carriage    n.客车厢；四轮马车
carry    vt.刊登
cart    n.二轮运货马车
carve    vt.刻，雕刻；切开
case    n.箱(子)，盒(子)，套
cash    n.现金，现款
cashier    n.出纳员；收银员 vt.解职；丢弃
cassette    n.盒式录音带；盒子
cast    vt.投，扔，抛；浇铸
castle    n.城堡；巨大建筑物
casual    a.偶然的；随便的
cat    n.猫，猫科，猫皮
catalog    n.目录，目录册
catalogue    vt.为…编目录
catch    vt.捉住；赶上；领会
cattle    n.牛；牲口，家畜
cause    n.原因，理由；事业
caution    n.小心；告诫
cave    n.山洞，洞穴，窑洞
cease    vi.&vi.&n.停止，停息
ceiling    n.天花板，顶蓬
celebrate    vt.庆祝；歌颂，赞美
celebration    n.典礼；宗教仪式；庆祝，祝贺
cell    n.细胞；小房间
cement    vt.粘结
cent    n.分；分币；百
center    n.中心；集中点 v.居中；使集中
centigrade    a.百分度的
centimeter    n.厘米（＝1／100米）；公分
centimetre    n.公分，厘米
central    a.中心的；主要的
centre    n.中心；中枢
century    n.世纪，百年
ceremony    n.典礼，仪式；礼节
certain    a.确实的；肯定的
certificate    n.证书，证件，执照
chain    n.链，链条，项圈
chair    n.椅子；主席
chairman    n.主席；议长，会长
chalk    n.白垩；粉笔
challenge    n.艰巨任务；要求回避
champion    n.斗士；提倡者
chance    n.机会，机遇；可能性
change    n.改变，变化；零钱
channel    n.海峡；渠道；频道
chapter    n.章，回，篇
character    n.性格；特性；角色
characteristic    a.特有的
charge    n.负荷；充电
charming    a.迷人的，可爱的
chart    n.图，图表；海图
charter    vt.租
chase    n.追逐，追赶，追求
chat    vi.闲谈；谈天 n.闲谈；聊天
cheap    a.廉价的；劣质的
cheat    n.欺诈；骗取
check    n.支票，帐单
cheek    n.面颊，脸蛋
cheer    vt.使振作；欢呼
cheerful    a.快乐的，愉快的
cheese    n.乳酪，干酪
chemical    a.化学的
chemist    n.化学家；药剂师
chemistry    n.化学
cheque    n.支票
chess    n.棋；国际象棋
chest    n.胸腔，胸膛；箱子
chicken    n.小鸡，小鸟；鸡肉
chief    a.主要的；首席的
child    n.小孩，儿童；儿子
childhood    n.童年，幼年；早期
childish    a.孩子的；幼稚的
chill    vi.感到寒冷；冷淬
chilly    adj.寒冷的；冷淡的 n.干辣椒
chimney    n.烟囱，烟筒；玻璃罩
chin    n.颏，下巴
china    n.瓷器，瓷料
chocolate    n.巧克力；巧克力糖
choice    n.入选者
choose    vt.选择，挑选；情愿
chore    n.讨厌的工作；琐事；家务
church    n.教堂，礼拜堂；教会
cigaret    n.香烟
cigarette    n.香烟，纸烟，卷烟
cinema    n.电影院；电影，影片
circle    n.圆，圆周；圈子
circuit    n.电路；环行；巡行
circular    n.传单，通报，通函
circulate    vt.使循环
circulation    n.循环；(货币等)流通
circumstance    n.情况，条件；境遇
cite    vt.引用，引证；举例
citizen    n.公民；市民，居民
city    n.城市，都市
civil    a.公民的；文职的
civilise    vt.使文明；使开化
civilization    n.文明，文化；开化
civilize    vt.使文明；教育
claim    n.权利，所有权
clap    n.拍手喝采声；霹雳声
clarify    vt.澄清，阐明
class    n.班，班级；阶级
classical    a.古典的；经典的
classify    vt.把…分类
classmate    n.同班同学
classroom    n.教室，课堂
clause    n.条款；[语]从句
clean    a.清洁的；纯洁的
clear    a.清晰的
clearance    n.清除；清理；清仓甩卖；间隙；许可证；结关；通关
clerk    n.店员；办事员，职员
clever    a.聪明的；机敏的
client    n.顾客；诉讼委托人
cliff    n.悬崖，峭壁
climate    n.气候；风土，地带
climb    vi.攀登，爬
clinic    n.诊所，医务室；会诊
clip    vt.剪；剪辑报刊
clock    n.钟，仪表
close    vt.关，闭；结束
closed    adj.关闭的；封闭的；停业的
closedown    n.倒闭；停业
cloth    n.布；衣料；桌布
clothe    vt.给…穿衣服
clothes    n.衣服，服装；被褥
clothing    n.衣服，被褥
cloud    n.云；云状物；阴影
cloudy    a.混浊的；模糊不清的
club    n.俱乐部，夜总会
clue    n.线索，暗示，提示
clumsy    a.笨拙的；愚笨的
coach    vt.辅导，指导，训练
coal    n.煤，煤块
coarse    a.粗的，粗糙的
coast    n.海岸，海滨(地区)
coat    n.外套，上衣；表皮
cock    n.旋塞，开关，龙头
code    n.准则；法典；代码
coffee    n.咖啡，咖啡茶
coin    vt.铸造(硬币)
cold    a.冷的；冷淡的
collapse    vi.倒坍；崩溃，瓦解
collar    n.衣领，项圈
colleague    n.同事，同僚
collect    vt.收集
collection    n.搜集，收集；收藏品
collective    a.集体的；集合性的
college    n.学院；大学
colony    n.殖民地；侨居地
color    n.颜色，彩色；颜料
colour    n.颜色；颜料；彩色；肤色 vt.给 ... 着色；渲染；影响 vi.染色；脸红
column    n.柱，支柱，圆柱
comb    n.梳子
combination    n.结合，联合；化合
combine    vt.使结合；兼有
come    vi.来，来到；出现
comfort    n.舒适；安慰
comfortable    a.舒适的，安慰的
command    vt.命令，指挥；控制
commander    n.司令官，指挥员
comment    n.评论，意见；注释
commerce    n.商业，贸易；社交
commercial    a.商业的；商品化的
commission    n.委托，委任；委托状
commit    vt.犯(错误);干(坏事)
committee    n.委员会；全体委员
commodity    n.日用品，商品，物品
common    a.普通的；共同的
communicate    vi.通讯；传达；传播
communication    n.通讯；传达；交通
communism    n.共产主义
communist    n.共产党员
community    n.社区；社会；公社
companion    n.同伴；共事者；伴侣
company    n.公司，商号；同伴
compare    vt.比较，对照；比作
comparison    n.比较，对照；比似
compass    n.罗盘，指南针；圆规
compel    vt.强迫，迫使屈服
compensate    vt.&vi.补偿，赔偿
compensation    n.补偿，赔偿，赔偿费
compete    vi.比赛；竞争；对抗
competent    a.有能力的；应该做的
competition    n.竞争，比赛
competitor    n.竞争者，敌手
complain    vi.抱怨，拆苦；控告
complaint    n.疾病，病痛；主诉
complete    a.完整的；完成的
complex    a.结合的；复杂的
complicate    vt.使复杂；使陷入
complicated    a.复杂的，难懂的
compose    vt.组成，构成；创作
composition    n.组成，构成，结构
compound    n.化合物；复合词
comprehension    n.理解，理解力；领悟
comprehensive    a.广泛的；理解的
compress    vt.压紧，压缩
comprise    vt.包含，包括；构成
compromise    n.妥协，和解
compute    vt.计算，估计，估算
computer    n.计算机，电脑
comrade    n.同志，亲密的同伴
conceal    vt.把…隐藏起来
concentrate    vt.&vi.浓缩，提浓
concentration    n.集中；专注；浓缩
concept    n.概念，观念，设想
concern    n.所关切的事；商行
concerning    prep.关于
concert    n.一齐，一致，协作
conclude    vt.推断出；结束
conclusion    n.结论，推论；结尾
concrete    n.混凝土；具体物
condemn    vt.谴责，指责；判刑
condense    vt.压缩，使缩短
condition    n.状况，状态；环境
conduct    n.举止，行为；指导
conductor    n.售票员；(乐队)指挥
conference    n.会议，讨论会
confess    vt.供认，承认；坦白
confidence    n.私房话，秘密，机密
confident    n.确信的，自信的
confirm    vt.证实，肯定；批准
conflict    n.争论；冲突；斗争
confront    vt.使面对；使对证
confuse    vt.使混乱，混淆
confusion    n.混乱；骚乱；混淆
conglomerate    n.联合企业；密集体；城郊混合区；[地]砾岩 adj.聚成一团的；成簇的 vt.使聚集；使结成；结合
congratulate    vt.祝贺，向…道喜
congratulation    n.祝贺；祝贺词
congress    n.大会；国会，议会
conjunction    n.接合，连接；连接词
connect    vt.连接，连结；联系
connection    n.连接，联系；连贯性
conquer    vt.征服，战胜；破除
conquest    n.攻取，征服；克服
conscience    n.良心，道德心
conscious    a.意识到的；有意的
consent    n.同意，赞成
consequence    n.重要(性)，重大意义
conservative    a.有保存力的，防腐的
consider    vt.认为；考虑；关心
considerable    a.相当大的；重要的
considerate    a.考虑周到的；体谅的
consideration    n.考虑，思考；体贴
consignment    n.委托；寄售；寄售物；托付货物
consist    vi.由…组成；在于
consolidation    n.巩固；加强；统一；合并；联合
constant    a.经常的；永恒的
constitute    vt.构成，组成
constitution    n.(人的)体格，素质
construct    vt.建造；建设；构筑
construction    n.结构；作图(法)
